[2026-07-03T01:22:28.414Z] GET https://sayedomidhabib.github.io/launchpages/?v=3 → 200 (290ms, 7635B)
[2026-07-03T01:22:28.715Z] GET https://fonts.googleapis.com/css2?family=Unbounded:wght@500;700;900&family=Inter:wght@400;500;600;700&display=swap → 200 (1ms, -698B)
[2026-07-03T01:22:28.758Z] GET https://fonts.gstatic.com/s/unbounded/v12/Yq6W-LOTXCb04q32xlpwu8ZfvRIkSQ.woff2 → 200 (2ms, -815B)
[2026-07-03T01:22:28.758Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/atelier/ → 200 (189ms, 5171B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/forge/ → 200 (402ms, 7235B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/ledger/ → 200 (598ms, ?B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/bloom/ → 200 (190ms, 6939B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/nova/ → 200 (190ms, 7571B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/signal/ → 200 (596ms, ?B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/horizon/ → 200 (589ms, 5793B)
[2026-07-03T01:22:28.759Z] GET https://sayedomidhabib.github.io/launchpages/templates/pulse/ → 200 (401ms, 6180B)
[2026-07-03T01:22:28.950Z] GET https://fonts.googleapis.com/css2?family=Syne:wght@600;700;800&family=Inter:wght@400;500;600&display=swap → 200 (399ms, 946B)
[2026-07-03T01:22:28.953Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@500;600;700;800&family=Inter:wght@400;500;600&display=swap → 200 (399ms, 971B)
[2026-07-03T01:22:29.160Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@500;600;700&family=Inter:wght@400;500;600&display=swap → 200 (191ms, 923B)
[2026-07-03T01:22:29.163Z] GET https://fonts.googleapis.com/css2?family=Archivo+Black&family=Inter:wght@400;500;600;700&display=swap → 200 (3ms, -698B)
[2026-07-03T01:22:29.170Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-03T01:22:29.170Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → 200 (1ms, -813B)
[2026-07-03T01:22:29.320Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;700&family=Inter:wght@400;500;600;700&display=swap → pending (?ms, ?B)
